Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
02-01-2015,24.28857803,24.75733239,23.84870366,24.74622379,212818400
05-01-2015,23.60433197,24.13751251,23.41771971,24.05753535,257142000
06-01-2015,23.60655975,23.86648476,23.24444036,23.66876385,263188400
07-01-2015,23.93756294,24.03753353,23.70429599,23.81537517,160423600
08-01-2015,24.85730743,24.9150691,24.14862148,24.26636687,237458000
09-01-2015,24.88396645,25.15944243,24.48408059,25.03059013,214798000
12-01-2015,24.27080536,25.02170015,24.17083476,25.01503566,198603200
13-01-2015,24.4862957,25.0594647,24.19526878,24.75510712,268367600
14-01-2015,24.39299011,24.54627824,24.10418355,24.22414927,195826400
15-01-2015,23.73096275,24.45075557,23.69541829,24.43742661,240056000
16-01-2015,23.54657745,23.89981033,23.37107205,23.77762248,314053200
20-01-2015,24.15306854,24.20860816,23.65987648,23.95756801,199599600
21-01-2015,24.33746147,24.67291955,24.0530972,24.20416503,194303600
22-01-2015,24.97060585,24.98615687,24.37522124,24.49518698,215185600
23-01-2015,25.09946251,25.27052377,24.77733174,24.94839469,185859200
26-01-2015,25.12611771,25.4060378,25.0594712,25.26829896,222460000
27-01-2015,24.2463665,24.9883764,24.22192894,24.97504575,382274800
28-01-2015,25.61709023,26.24135662,25.61709023,26.13249776,585908400
29-01-2015,26.41464233,26.47906849,25.67263217,25.84147308,337745600
30-01-2015,26.02807808,26.6590071,25.95920782,26.30355401,334982000
02-02-2015,26.3546505,26.47461624,25.78814759,26.22579991,250956400
03-02-2015,26.35909843,26.45684699,26.12805346,26.32577433,207662800
04-02-2015,26.56126213,26.77231366,26.28356409,26.32577473,280598800
05-02-2015,26.75084114,26.81552155,26.59694632,26.76868266,168984800
06-02-2015,26.52557564,26.81998203,26.418518,26.76868318,174826400
09-02-2015,26.70177078,26.72853391,26.41405521,26.44082004,155559200
10-02-2015,27.21475601,27.24375168,26.79991208,26.80214121,248034000
11-02-2015,27.85263824,27.86155986,27.32181502,27.38203378,294247200
12-02-2015,28.20503426,28.43253114,28.00653304,28.11581983,297898000
13-02-2015,28.34331322,28.38791958,28.02437282,28.38791958,217088800
17-02-2015,28.5105896,28.74477724,28.30762675,28.43475675,252609600
18-02-2015,28.70909691,28.72247848,28.4258412,28.46598761,179566800
19-02-2015,28.64887238,28.77823321,28.62210924,28.65556316,149449600
20-02-2015,28.88305855,28.88305855,28.55965819,28.68678648,195793600
23-02-2015,29.66368675,29.66368675,28.91874987,28.99904269,283896400
24-02-2015,29.47856331,29.79750543,29.2555281,29.65030137,276912400
25-02-2015,28.72470284,29.35143463,28.58196044,29.34251131,298846800
26-02-2015,29.08825302,29.18861819,28.23848938,28.72470452,365150000
27-02-2015,28.6511116,29.12171615,28.60204357,28.99458441,248059200
02-03-2015,28.79161263,29.05702505,28.61541632,28.82729907,192386800
03-03-2015,28.85182953,28.88751597,28.56857391,28.76261682,151265200
04-03-2015,28.6689415,28.89643834,28.61987689,28.79384406,126665200
05-03-2015,28.19387817,28.71577968,28.04890497,28.67786411,226068400
06-03-2015,28.23626137,28.85406824,28.1604302,28.63772378,291368400
09-03-2015,28.35669327,28.89867054,27.89277967,28.53958205,354114000
10-03-2015,27.7701149,28.37454012,27.6117601,28.19388214,275426400
11-03-2015,27.26382446,27.82810329,27.2348305,27.82364333,275756000
12-03-2015,27.75672722,27.85709407,27.12776808,27.27943207,193450800
13-03-2015,27.56492233,27.96861724,27.33965798,27.74558202,207309200
16-03-2015,27.86824608,27.86824608,27.40433418,27.6295985,143497200
17-03-2015,28.33439445,28.39684404,28.02437564,28.08013444,204092400
18-03-2015,28.65334129,28.80723617,28.18496757,28.32547918,261083600
19-03-2015,28.43698311,28.82729464,28.41467993,28.71577706,183238000
20-03-2015,28.08012581,28.63771198,27.91508027,28.60425807,274780400
23-03-2015,28.37230873,28.51505113,28.21841389,28.35223638,150838800
24-03-2015,28.25632668,28.55742212,28.22733101,28.37676587,131369200
25-03-2015,27.51808167,28.28532328,27.51808167,28.2228737,206620800
26-03-2015,27.70989037,27.85263275,27.34411281,27.37979925,190291600
27-03-2015,27.48907852,27.81247876,27.4132474,27.78348481,158184800
30-03-2015,28.18495941,28.1916502,27.65636536,27.66751781,188398800
31-03-2015,27.75226593,28.21171783,27.73665354,28.12250342,168362400
01-04-2015,27.71212196,27.90616319,27.45563116,27.83925195,162485600
02-04-2015,27.95077324,28.00430121,27.69874406,27.88609282,128880400
06-04-2015,28.40353203,28.43921848,27.72996648,27.76119127,148776000
07-04-2015,28.10466576,28.57526846,28.09797497,28.46821252,140049200
08-04-2015,28.01322365,28.19165251,27.87271207,28.06898245,149316800
09-04-2015,28.22733688,28.23179854,27.80357133,28.06898208,129936000
10-04-2015,28.3477726,28.37230661,27.93738866,28.09128179,160752000
13-04-2015,28.29201698,28.67563953,28.23848901,28.63102976,145460400
14-04-2015,28.16934204,28.39014638,28.08235846,28.32546598,102098400
15-04-2015,28.27640343,28.35446541,28.10466707,28.19388149,115881600
16-04-2015,28.14035416,28.34777699,28.12697259,28.16488817,113476000
17-04-2015,27.82364464,28.13366347,27.75896422,28.0020735,207828000
20-04-2015,28.45929146,28.57526901,27.91731585,28.00653027,188217200
21-04-2015,28.30540276,28.59311671,28.25187307,28.57081523,129740400
22-04-2015,28.68678665,28.74254545,28.17380671,28.32323988,150618000
23-04-2015,28.92097092,29.0882473,28.57972737,28.61541381,183083600
24-04-2015,29.05702972,29.13509342,28.82284205,29.10386862,178103600
27-04-2015,29.58561897,29.69267832,29.25106616,29.50978782,387816800
28-04-2015,29.11947632,30.0071555,28.89867364,29.98931567,475696000
29-04-2015,28.69124985,29.34920305,28.61541869,29.03026433,253544400
30-04-2015,27.91285324,28.69124555,27.78572326,28.69124555,332781600
01-05-2015,28.76039314,29.02357649,27.94631589,28.12474306,234050400
04-05-2015,28.7046299,29.12170804,28.60649386,28.88305874,203953200
05-05-2015,28.0578289,28.64887082,28.05336725,28.58195958,197085600
06-05-2015,27.88162613,28.26970684,27.51361777,28.22732961,288564000
07-05-2015,28.05408859,28.23774134,27.77636846,27.9443436,175763600
08-05-2015,28.58264732,28.58264732,28.24445693,28.37211796,222201600
11-05-2015,28.29149246,28.56921088,28.13695479,28.53113692,168143200
12-05-2015,28.19070244,28.41690768,27.95553661,28.13023044,192640000
13-05-2015,28.22205734,28.48633824,28.19070213,28.25341256,138776800
14-05-2015,28.88052368,28.88052368,28.47962454,28.53561625,180814000
15-05-2015,28.84020042,29.00145676,28.71477959,28.90739114,152832000
18-05-2015,29.15824509,29.27694725,28.74838534,28.75286563,203531600
19-05-2015,29.13136864,29.31278123,29.03506112,29.27022698,178532800
20-05-2015,29.12912941,29.33517851,28.967873,29.11569194,145819600
21-05-2015,29.42700577,29.48075904,29.07761801,29.13137129,158921600
22-05-2015,29.68457031,29.78087785,29.42924819,29.47404431,182384000
26-05-2015,29.03057861,29.76743138,28.9185952,29.69800221,282790400
27-05-2015,29.57257843,29.62185141,29.12688663,29.19183551,183332800
28-05-2015,29.51434135,29.5524153,29.36204559,29.53225911,122933200
29-05-2015,29.17840385,29.44044468,29.09329535,29.3911717,203538000
01-06-2015,29.23662949,29.42700267,29.12688792,29.17839934,128451200
02-06-2015,29.10672569,29.26350176,28.96338708,29.08432765,134670400
03-06-2015,29.14256096,29.32621539,29.09328799,29.26350495,123934000
04-06-2015,28.97234535,29.24558512,28.87156098,29.02161832,153800400
05-06-2015,28.8133297,29.0462571,28.74838082,29.00370286,142507200
08-06-2015,28.62296104,28.93875509,28.40571295,28.8693225,210699200
09-06-2015,28.53784943,28.68566834,28.13471021,28.37659306,224301600
10-06-2015,28.86484718,28.96787001,28.6341599,28.64983752,156349200
11-06-2015,28.79989624,29.15600271,28.77525975,28.93203586,141563600
12-06-2015,28.4818573,28.74165961,28.46841984,28.71030439,147544800
15-06-2015,28.42588043,28.49754978,28.15488067,28.24222763,175955600
16-06-2015,28.57816696,28.63415867,28.30268872,28.45050594,125976400
17-06-2015,28.5109787,28.64087816,28.38555611,28.60504436,131672400
18-06-2015,28.64087105,28.73717683,28.49305386,28.49529401,141628800
19-06-2015,28.35420227,28.6274421,28.30940958,28.60280561,218867600
22-06-2015,28.58040619,28.68119058,28.46170405,28.55352956,136157200
23-06-2015,28.45050621,28.58040738,28.41691084,28.55129231,121075600
24-06-2015,28.69239235,29.07089686,28.47066565,28.49082185,221123600
25-06-2015,28.55576515,28.936508,28.55576515,28.86036012,127752400
26-06-2015,28.3877964,28.6655148,28.33404484,28.59384548,176267200
29-06-2015,27.89059067,28.32508689,27.87939335,28.0988799,196645600
30-06-2015,28.09216118,28.24669885,27.96450015,28.1235164,177482800
01-07-2015,28.35420227,28.43035189,28.21758236,28.42139301,120955200
02-07-2015,28.318367,28.37435871,28.16830793,28.31612686,108844000
06-07-2015,28.21982193,28.27133506,27.96225972,27.98241763,112241600
07-07-2015,28.15038872,28.25341324,27.72037115,28.1951814,187787200
08-07-2015,27.45161819,27.91522953,27.44489946,27.87939572,243046400
09-07-2015,26.89170074,27.78532804,26.70132926,27.7382952,314380000
10-07-2015,27.61063194,27.73829297,27.14702065,27.3105172,245418000
13-07-2015,28.14367485,28.16607119,27.84355839,28.00257464,165762000
14-07-2015,28.13246918,28.30268442,28.00480817,28.22877497,127072400
15-07-2015,28.4034729,28.47738236,28.12575451,28.15710973,134596800
16-07-2015,28.78197861,28.79541949,28.52217795,28.60952488,144889600
17-07-2015,29.03057861,29.03057861,28.73718262,28.90963803,184658800
